Name,Surname,H1,H2,H3,H4,H5,Exam
NewName8532,NewSurname1242,1,2,6,6,7,2
NewName3760,NewSurname6049,5,4,9,9,1,4
NewName6847,NewSurname6443,1,1,2,2,8,3
NewName915,NewSurname8435,7,8,3,3,4,3
NewName3294,NewSurname6919,5,9,6,6,6,1
NewName4997,NewSurname4461,1,2,3,3,4,5
NewName7817,NewSurname8123,3,1,3,3,9,3
NewName950,NewSurname1032,6,6,6,6,6,4
NewName5430,NewSurname2063,6,8,5,5,9,2
NewName7626,NewSurname8770,3,6,6,6,4,4
NewName9050,NewSurname2293,3,1,4,4,3,1
NewName395,NewSurname6797,8,8,3,3,9,2
NewName2883,NewSurname1843,9,9,9,9,7,2
NewName7099,NewSurname9936,1,1,6,6,3,2
NewName5478,NewSurname1186,9,1,3,3,9,2
NewName8735,NewSurname1450,9,6,8,8,5,2
NewName9973,NewSurname2742,8,8,2,2,4,5
NewName6471,NewSurname4984,5,9,8,8,4,2
NewName7797,NewSurname8833,1,3,5,5,7,2
NewName5874,NewSurname926,4,5,7,7,5,4
NewName5619,NewSurname285,2,7,2,2,3,5
NewName9262,NewSurname9079,4,7,1,1,3,3
NewName8194,NewSurname1955,4,7,7,7,8,3
NewName5908,NewSurname4070,8,9,8,8,8,3
NewName4797,NewSurname9545,1,5,1,1,7,1
NewName3970,NewSurname7713,7,5,8,8,6,1
NewName109,NewSurname1725,6,2,1,1,3,1
NewName6091,NewSurname1580,5,6,7,7,7,1
NewName5020,NewSurname147,8,8,8,8,3,1
NewName233,NewSurname2749,2,6,4,4,7,3
NewName2863,NewSurname8592,1,7,4,4,2,4
NewName2371,NewSurname7814,1,7,9,9,6,4
NewName8140,NewSurname8707,3,4,8,8,6,3
NewName2713,NewSurname7323,3,6,7,7,6,1
NewName2991,NewSurname7929,4,1,1,1,4,1
NewName2691,NewSurname8286,8,5,5,5,7,3
NewName8155,NewSurname6527,9,7,4,4,8,2
NewName515,NewSurname5732,8,9,9,9,1,1
NewName8587,NewSurname1097,4,8,4,4,4,2
NewName1318,NewSurname4245,3,9,2,2,3,3
NewName2331,NewSurname9654,8,6,8,8,2,4
NewName6315,NewSurname8466,5,9,9,9,6,1
NewName7475,NewSurname777,8,3,6,6,4,2
NewName8977,NewSurname9116,3,3,8,8,4,3
NewName225,NewSurname2688,9,7,4,4,3,3
NewName1978,NewSurname3211,5,1,7,7,9,3
NewName7653,NewSurname8812,7,7,3,3,6,4
NewName7823,NewSurname5371,3,7,3,3,1,2
NewName702,NewSurname304,2,5,9,9,3,1
NewName9877,NewSurname8504,8,3,6,6,5,4
NewName4838,NewSurname5546,9,8,9,9,1,2
NewName3610,NewSurname2876,3,5,9,9,9,4
NewName2666,NewSurname163,7,3,5,5,3,5
NewName9573,NewSurname2226,7,4,2,2,6,3
NewName595,NewSurname9614,2,6,9,9,1,1
NewName517,NewSurname4467,1,6,7,7,2,2
NewName9964,NewSurname3859,9,9,4,4,8,2
NewName4412,NewSurname6072,3,1,1,1,4,3
NewName4901,NewSurname466,5,2,2,2,1,5
NewName480,NewSurname6463,5,8,9,9,7,2
NewName825,NewSurname2593,3,9,6,6,5,4
NewName2386,NewSurname806,4,4,4,4,4,4
NewName1319,NewSurname8043,9,4,8,8,2,2
NewName4074,NewSurname151,9,7,9,9,5,1
NewName2886,NewSurname9199,8,8,5,5,3,2
NewName1033,NewSurname9448,5,8,5,5,5,1
NewName5715,NewSurname9764,1,1,6,6,5,3
NewName6571,NewSurname8618,6,9,4,4,3,2
NewName8999,NewSurname5147,9,8,2,2,4,1
NewName9483,NewSurname8138,1,7,7,7,4,2
NewName4523,NewSurname3381,2,1,6,6,1,3
NewName2132,NewSurname12,9,7,3,3,9,1
NewName7905,NewSurname2685,8,4,4,4,5,1
NewName968,NewSurname8383,9,3,4,4,5,1
NewName4907,NewSurname1144,3,4,2,2,7,2
NewName237,NewSurname9693,6,5,9,9,5,3
NewName6272,NewSurname8855,5,1,1,1,6,4
NewName3521,NewSurname5267,4,4,3,3,6,4
NewName8763,NewSurname3841,5,4,7,7,1,4
NewName7518,NewSurname7130,2,3,9,9,1,1
NewName9019,NewSurname3969,8,2,9,9,5,1
NewName6324,NewSurname3437,9,6,7,7,7,4
NewName8338,NewSurname7101,2,2,1,1,4,6
NewName1782,NewSurname374,4,9,7,7,4,4
NewName6081,NewSurname9400,8,1,6,6,2,5
NewName1563,NewSurname2261,6,3,4,4,7,4
NewName9778,NewSurname9906,7,1,3,3,1,1
NewName6624,NewSurname8558,8,7,7,7,3,2
NewName4741,NewSurname40,4,8,4,4,6,1
NewName4691,NewSurname8457,4,8,1,1,3,5
NewName2145,NewSurname1911,3,7,8,8,8,4
NewName5679,NewSurname2222,7,4,6,6,1,1
NewName7388,NewSurname1057,3,7,4,4,9,3
NewName7822,NewSurname4579,4,1,5,5,2,2
NewName1796,NewSurname4151,2,1,2,2,4,1
NewName6650,NewSurname8949,6,9,3,3,1,2
NewName5813,NewSurname4792,7,2,4,4,5,4
NewName6288,NewSurname2967,4,6,6,6,3,2
NewName7367,NewSurname4846,1,1,2,2,8,3
NewName5524,NewSurname2293,5,8,6,6,8,2
NewName2613,NewSurname6084,3,3,5,5,3,4
NewName6800,NewSurname1629,8,6,6,6,7,3
NewName8512,NewSurname328,3,1,6,6,4,5
NewName6141,NewSurname3330,3,1,3,3,6,4
NewName6656,NewSurname8301,6,3,6,6,1,1
NewName3699,NewSurname1298,6,2,3,3,7,3
