Name,Surname,H1,H2,H3,H4,H5,Exam
NewName2198,NewSurname6220,2,4,7,7,6,5
NewName7269,NewSurname9906,7,4,3,3,4,9
NewName4745,NewSurname1463,2,4,8,8,9,8
NewName3699,NewSurname7222,5,6,8,8,8,7
NewName7801,NewSurname2057,2,8,4,4,1,8
NewName8608,NewSurname3408,1,5,9,9,6,7
NewName692,NewSurname1229,8,4,9,9,3,8
NewName975,NewSurname9581,9,1,1,1,8,7
NewName3323,NewSurname8876,5,7,8,8,7,9
NewName5367,NewSurname4879,3,8,5,5,7,6
NewName3750,NewSurname4275,2,4,4,4,3,8
NewName3694,NewSurname2844,5,9,7,7,1,6
NewName9283,NewSurname8636,8,7,7,7,7,8
NewName6535,NewSurname8552,6,8,5,5,5,7
NewName9866,NewSurname876,1,6,1,1,4,8
NewName8754,NewSurname9562,5,6,3,3,7,8
NewName2624,NewSurname2525,9,9,9,9,2,7
NewName9973,NewSurname3123,3,2,8,8,9,5
NewName6911,NewSurname6047,2,9,7,7,6,8
NewName6274,NewSurname2693,9,6,8,8,5,7
NewName8916,NewSurname4699,4,2,7,7,2,6
NewName1150,NewSurname4028,6,5,9,9,8,9
NewName7083,NewSurname6898,6,4,4,4,7,8
NewName8835,NewSurname4176,5,1,6,6,7,9
NewName2869,NewSurname1170,3,7,9,9,9,9
NewName5839,NewSurname9945,4,7,5,5,1,6
NewName213,NewSurname9379,2,7,1,1,8,7
NewName9789,NewSurname7996,7,2,2,2,6,9
NewName1458,NewSurname5334,2,5,3,3,2,7
NewName9264,NewSurname6648,2,1,1,1,4,9
NewName8059,NewSurname4662,6,1,9,9,4,8
NewName2415,NewSurname5594,9,5,9,9,2,6
NewName7714,NewSurname5077,4,4,9,9,5,9
NewName4191,NewSurname8300,2,4,2,2,4,8
NewName7173,NewSurname6689,8,5,4,4,4,6
NewName4257,NewSurname9657,3,8,8,8,7,8
NewName8389,NewSurname2071,7,8,6,6,6,7
NewName5357,NewSurname7913,9,9,3,3,4,7
NewName1481,NewSurname1128,2,4,3,3,8,7
NewName5447,NewSurname9694,6,2,8,8,4,7
NewName5455,NewSurname3034,3,8,7,7,5,9
NewName4280,NewSurname7431,3,2,9,9,2,7
NewName2842,NewSurname1564,4,3,8,8,8,7
NewName7986,NewSurname8589,5,3,7,7,4,6
NewName2989,NewSurname6673,5,7,7,7,2,5
NewName1564,NewSurname1278,2,2,7,7,9,5
NewName1612,NewSurname3394,4,5,8,8,4,8
NewName5743,NewSurname7049,8,4,9,9,9,9
NewName6059,NewSurname720,1,8,2,2,5,9
NewName5372,NewSurname1753,5,7,9,9,6,6
NewName990,NewSurname9250,3,1,1,1,6,6
NewName7211,NewSurname9115,2,4,7,7,4,8
NewName4108,NewSurname4608,2,4,1,1,6,7
NewName9983,NewSurname6182,2,5,1,1,7,9
NewName796,NewSurname8756,5,5,8,8,6,6
NewName1691,NewSurname9576,9,6,4,4,5,5
NewName7633,NewSurname7608,1,3,3,3,5,9
NewName92,NewSurname3455,9,1,7,7,6,7
NewName9673,NewSurname7309,7,3,7,7,2,6
NewName744,NewSurname5877,6,6,3,3,8,9
NewName9096,NewSurname8404,5,6,5,5,1,8
NewName2203,NewSurname462,7,4,4,4,6,6
NewName7433,NewSurname6950,3,9,3,3,4,6
NewName8015,NewSurname1188,6,9,1,1,3,6
NewName9354,NewSurname6454,9,9,3,3,1,7
NewName4978,NewSurname8353,7,4,7,7,4,8
NewName3416,NewSurname1031,6,2,1,1,5,6
NewName601,NewSurname7775,3,9,7,7,1,6
NewName6754,NewSurname5758,2,4,4,4,6,9
NewName8860,NewSurname351,7,2,3,3,6,7
NewName4661,NewSurname6481,8,7,2,2,4,8
NewName9421,NewSurname7282,4,6,5,5,7,8
NewName8885,NewSurname7798,2,9,6,6,5,6
NewName6126,NewSurname9507,7,8,9,9,9,9
NewName4590,NewSurname3161,1,5,1,1,4,9
NewName5524,NewSurname1691,6,4,3,3,6,6
NewName8820,NewSurname7059,6,7,8,8,2,8
NewName9659,NewSurname3306,9,3,9,9,6,7
NewName1172,NewSurname5419,1,9,8,8,6,7
NewName3086,NewSurname8096,5,3,2,2,1,6
NewName63,NewSurname6926,4,1,8,8,7,7
NewName9552,NewSurname3728,7,6,1,1,9,5
NewName8825,NewSurname2218,3,5,7,7,5,5
NewName5346,NewSurname3212,1,1,1,1,5,8
NewName3096,NewSurname9591,5,2,6,6,6,6
NewName9552,NewSurname1887,6,8,3,3,4,8
NewName6571,NewSurname3566,2,3,3,3,8,6
NewName6812,NewSurname99,1,8,4,4,3,7
NewName1201,NewSurname3391,2,9,3,3,9,9
NewName2641,NewSurname510,7,9,4,4,2,5
NewName9435,NewSurname2166,4,2,6,6,9,8
NewName4365,NewSurname4662,5,4,5,5,5,6
NewName9788,NewSurname8621,6,4,4,4,1,7
NewName5161,NewSurname8796,5,9,6,6,6,8
NewName5498,NewSurname4920,8,6,4,4,3,9
NewName5247,NewSurname1242,1,7,1,1,8,8
NewName3634,NewSurname804,4,5,6,6,3,6
NewName1766,NewSurname6856,4,3,3,3,7,7
NewName8587,NewSurname2212,4,6,6,6,3,8
NewName1768,NewSurname3546,4,3,5,5,2,9
NewName8789,NewSurname3788,3,9,9,9,3,8
NewName9919,NewSurname9864,2,4,3,3,1,9
NewName7551,NewSurname7400,1,6,8,8,3,9
NewName1691,NewSurname2498,6,9,5,5,4,7
NewName864,NewSurname3803,7,7,2,2,8,8
NewName8106,NewSurname2828,2,2,7,7,9,6
NewName5013,NewSurname4510,2,4,9,9,3,7
NewName3547,NewSurname3680,8,8,7,7,3,9
NewName1691,NewSurname1349,5,8,3,3,9,8
NewName5888,NewSurname1821,2,4,5,5,5,9
NewName6383,NewSurname9992,6,9,7,7,8,9
NewName5730,NewSurname895,2,1,8,8,3,7
NewName8607,NewSurname8367,5,4,4,4,6,7
NewName5954,NewSurname9227,4,9,4,4,2,7
NewName7494,NewSurname8376,9,5,9,9,6,9
NewName628,NewSurname494,4,7,5,5,8,5
NewName2659,NewSurname1737,8,5,2,2,8,8
NewName6549,NewSurname3957,9,3,7,7,4,9
NewName4296,NewSurname4367,2,7,7,7,2,5
NewName433,NewSurname2048,5,3,7,7,7,8
NewName2615,NewSurname4056,8,8,9,9,1,8
NewName5573,NewSurname8298,4,1,5,5,6,9
NewName9443,NewSurname82,7,5,9,9,9,5
NewName2705,NewSurname8823,5,4,4,4,9,9
NewName1090,NewSurname6936,3,2,5,5,3,9
NewName9680,NewSurname1504,6,6,6,6,1,6
NewName6496,NewSurname8608,8,9,4,4,6,9
NewName736,NewSurname7072,8,1,2,2,9,6
NewName2249,NewSurname4192,9,7,4,4,6,6
NewName131,NewSurname9149,7,5,2,2,7,5
NewName146,NewSurname5116,5,3,4,4,7,9
NewName6926,NewSurname6879,2,9,9,9,1,9
NewName6408,NewSurname8202,9,8,7,7,5,9
NewName5789,NewSurname8850,4,6,3,3,2,7
NewName5112,NewSurname1731,5,6,2,2,6,7
NewName892,NewSurname9307,4,7,7,7,4,5
NewName7599,NewSurname5337,7,5,4,4,6,5
NewName235,NewSurname8708,3,6,9,9,2,9
NewName2516,NewSurname6497,5,3,7,7,7,6
NewName307,NewSurname628,8,9,7,7,3,9
NewName4252,NewSurname1858,7,8,2,2,9,6
NewName7564,NewSurname7026,3,7,1,1,4,6
NewName4063,NewSurname2490,3,5,1,1,6,7
NewName1250,NewSurname3422,1,9,8,8,9,9
NewName1356,NewSurname7467,4,5,9,9,7,8
NewName6217,NewSurname9601,7,8,8,8,5,8
NewName5213,NewSurname8974,8,2,6,6,8,7
NewName5365,NewSurname3561,5,6,8,8,9,8
NewName1341,NewSurname6223,3,9,6,6,6,6
NewName7218,NewSurname8414,8,8,4,4,3,9
NewName3849,NewSurname6045,7,1,3,3,3,9
NewName5514,NewSurname4513,7,6,8,8,9,7
NewName3445,NewSurname2790,9,2,9,9,9,8
NewName3340,NewSurname1586,7,5,6,6,7,5
NewName9061,NewSurname6,7,9,3,3,9,4
NewName925,NewSurname9127,8,1,7,7,1,6
NewName8526,NewSurname5799,6,5,3,3,3,9
NewName5268,NewSurname1323,3,5,9,9,8,9
NewName6912,NewSurname7839,2,2,5,5,2,9
NewName9674,NewSurname8820,9,3,4,4,7,6
NewName5680,NewSurname6526,7,1,2,2,6,7
NewName7607,NewSurname3218,5,1,8,8,7,9
NewName8934,NewSurname4552,6,6,9,9,1,9
NewName762,NewSurname1936,3,8,9,9,1,7
NewName8006,NewSurname8809,3,4,3,3,1,8
NewName924,NewSurname8118,2,7,9,9,3,9
NewName2499,NewSurname9177,6,9,7,7,8,4
NewName5021,NewSurname993,9,7,4,4,7,8
NewName9485,NewSurname9345,7,1,7,7,9,6
NewName9768,NewSurname7777,7,6,2,2,1,8
NewName4026,NewSurname3518,5,9,4,4,6,9
NewName3612,NewSurname4431,8,9,3,3,4,7
NewName1518,NewSurname2068,7,4,6,6,9,5
NewName7103,NewSurname5009,5,1,3,3,4,6
NewName7761,NewSurname3817,1,6,5,5,4,7
NewName3529,NewSurname1823,2,9,4,4,7,8
NewName4283,NewSurname2376,3,6,4,4,1,6
NewName2431,NewSurname5938,3,4,1,1,2,9
NewName4642,NewSurname1441,2,3,4,4,7,9
NewName3870,NewSurname2876,2,3,9,9,9,8
NewName1391,NewSurname6370,9,6,7,7,8,6
NewName2554,NewSurname7816,4,9,5,5,4,9
NewName3038,NewSurname4896,4,6,3,3,9,5
